sender,receiver,amount,timestamp
A01,D,10500,2026-09-01T09:01:00+00:00
A02,D,11000,2026-09-01T09:02:00+00:00
A03,D,11500,2026-09-01T09:03:00+00:00
A04,D,12000,2026-09-01T09:04:00+00:00
A05,D,12500,2026-09-01T09:05:00+00:00
A06,D,13000,2026-09-01T09:06:00+00:00
A07,E,13500,2026-09-01T09:07:00+00:00
A08,E,14000,2026-09-01T09:08:00+00:00
A09,E,14500,2026-09-01T09:09:00+00:00
A10,E,15000,2026-09-01T09:10:00+00:00
A11,E,15500,2026-09-01T09:11:00+00:00
A12,E,16000,2026-09-01T09:12:00+00:00
D,F,70000,2026-09-01T09:20:00+00:00
E,F,85000,2026-09-01T09:24:00+00:00
B01,F,6500,2026-09-01T09:26:00+00:00
B02,F,7000,2026-09-01T09:27:00+00:00
B03,F,7500,2026-09-01T09:28:00+00:00
B04,F,8000,2026-09-01T09:29:00+00:00
B05,F,8500,2026-09-01T09:30:00+00:00
B06,F,9000,2026-09-01T09:31:00+00:00
F,X,130000,2026-09-01T09:40:00+00:00
F,Y,40000,2026-09-01T09:42:00+00:00
F,Z,35000,2026-09-01T09:45:00+00:00
X,C01,20000,2026-09-01T09:51:00+00:00
X,C02,20000,2026-09-01T09:52:00+00:00
X,C03,20000,2026-09-01T09:53:00+00:00
X,C04,20000,2026-09-01T09:54:00+00:00
X,C05,20000,2026-09-01T09:55:00+00:00
X,C06,20000,2026-09-01T09:56:00+00:00
N01,N02,937,2026-09-01T10:57:00+00:00
N02,N03,1074,2026-09-01T11:14:00+00:00
N03,N04,1211,2026-09-01T11:31:00+00:00
N04,N05,1348,2026-09-01T11:48:00+00:00
N05,N06,1485,2026-09-01T12:05:00+00:00
N06,N07,1622,2026-09-01T12:22:00+00:00
N07,N08,1759,2026-09-01T12:39:00+00:00
N08,N09,1896,2026-09-01T12:56:00+00:00
N09,N10,2033,2026-09-01T13:13:00+00:00
N10,N11,2170,2026-09-01T13:30:00+00:00
N11,N12,2307,2026-09-01T13:47:00+00:00
N12,N01,2444,2026-09-01T14:04:00+00:00
N03,B01,1200,2026-09-01T17:20:00+00:00
C06,N07,1800,2026-09-01T20:40:00+00:00
A01,D,10500,2026-09-02T09:01:00+00:00
A02,D,11000,2026-09-02T09:02:00+00:00
A03,D,11500,2026-09-02T09:03:00+00:00
A04,D,12000,2026-09-02T09:04:00+00:00
A05,D,12500,2026-09-02T09:05:00+00:00
A06,D,13000,2026-09-02T09:06:00+00:00
A07,E,13500,2026-09-02T09:07:00+00:00
A08,E,14000,2026-09-02T09:08:00+00:00
A09,E,14500,2026-09-02T09:09:00+00:00
A10,E,15000,2026-09-02T09:10:00+00:00
A11,E,15500,2026-09-02T09:11:00+00:00
A12,E,16000,2026-09-02T09:12:00+00:00
D,F,70000,2026-09-02T09:20:00+00:00
E,F,85000,2026-09-02T09:24:00+00:00
B01,F,6500,2026-09-02T09:26:00+00:00
B02,F,7000,2026-09-02T09:27:00+00:00
B03,F,7500,2026-09-02T09:28:00+00:00
B04,F,8000,2026-09-02T09:29:00+00:00
B05,F,8500,2026-09-02T09:30:00+00:00
B06,F,9000,2026-09-02T09:31:00+00:00
F,X,130000,2026-09-02T09:40:00+00:00
F,Y,40000,2026-09-02T09:42:00+00:00
F,Z,35000,2026-09-02T09:45:00+00:00
X,C01,20000,2026-09-02T09:51:00+00:00
X,C02,20000,2026-09-02T09:52:00+00:00
X,C03,20000,2026-09-02T09:53:00+00:00
X,C04,20000,2026-09-02T09:54:00+00:00
X,C05,20000,2026-09-02T09:55:00+00:00
X,C06,20000,2026-09-02T09:56:00+00:00
N01,N02,1020,2026-09-02T10:57:00+00:00
N02,N03,1157,2026-09-02T11:14:00+00:00
N03,N04,1294,2026-09-02T11:31:00+00:00
N04,N05,1431,2026-09-02T11:48:00+00:00
N05,N06,1568,2026-09-02T12:05:00+00:00
N06,N07,1705,2026-09-02T12:22:00+00:00
N07,N08,1842,2026-09-02T12:39:00+00:00
N08,N09,1979,2026-09-02T12:56:00+00:00
N09,N10,2116,2026-09-02T13:13:00+00:00
N10,N11,2253,2026-09-02T13:30:00+00:00
N11,N12,2390,2026-09-02T13:47:00+00:00
N12,N01,827,2026-09-02T14:04:00+00:00
N03,B01,1200,2026-09-02T17:20:00+00:00
C06,N07,1800,2026-09-02T20:40:00+00:00
A01,D,10500,2026-09-03T09:01:00+00:00
A02,D,11000,2026-09-03T09:02:00+00:00
A03,D,11500,2026-09-03T09:03:00+00:00
A04,D,12000,2026-09-03T09:04:00+00:00
A05,D,12500,2026-09-03T09:05:00+00:00
A06,D,13000,2026-09-03T09:06:00+00:00
A07,E,13500,2026-09-03T09:07:00+00:00
A08,E,14000,2026-09-03T09:08:00+00:00
A09,E,14500,2026-09-03T09:09:00+00:00
A10,E,15000,2026-09-03T09:10:00+00:00
A11,E,15500,2026-09-03T09:11:00+00:00
A12,E,16000,2026-09-03T09:12:00+00:00
D,F,70000,2026-09-03T09:20:00+00:00
E,F,85000,2026-09-03T09:24:00+00:00
B01,F,6500,2026-09-03T09:26:00+00:00
B02,F,7000,2026-09-03T09:27:00+00:00
B03,F,7500,2026-09-03T09:28:00+00:00
B04,F,8000,2026-09-03T09:29:00+00:00
B05,F,8500,2026-09-03T09:30:00+00:00
B06,F,9000,2026-09-03T09:31:00+00:00
F,X,130000,2026-09-03T09:40:00+00:00
F,Y,40000,2026-09-03T09:42:00+00:00
F,Z,35000,2026-09-03T09:45:00+00:00
X,C01,20000,2026-09-03T09:51:00+00:00
X,C02,20000,2026-09-03T09:52:00+00:00
X,C03,20000,2026-09-03T09:53:00+00:00
X,C04,20000,2026-09-03T09:54:00+00:00
X,C05,20000,2026-09-03T09:55:00+00:00
X,C06,20000,2026-09-03T09:56:00+00:00
N01,N02,1103,2026-09-03T10:57:00+00:00
N02,N03,1240,2026-09-03T11:14:00+00:00
N03,N04,1377,2026-09-03T11:31:00+00:00
N04,N05,1514,2026-09-03T11:48:00+00:00
N05,N06,1651,2026-09-03T12:05:00+00:00
N06,N07,1788,2026-09-03T12:22:00+00:00
N07,N08,1925,2026-09-03T12:39:00+00:00
N08,N09,2062,2026-09-03T12:56:00+00:00
N09,N10,2199,2026-09-03T13:13:00+00:00
N10,N11,2336,2026-09-03T13:30:00+00:00
N11,N12,2473,2026-09-03T13:47:00+00:00
N12,N01,910,2026-09-03T14:04:00+00:00
N03,B01,1200,2026-09-03T17:20:00+00:00
C06,N07,1800,2026-09-03T20:40:00+00:00
A01,D,10500,2026-09-04T09:01:00+00:00
A02,D,11000,2026-09-04T09:02:00+00:00
A03,D,11500,2026-09-04T09:03:00+00:00
A04,D,12000,2026-09-04T09:04:00+00:00
A05,D,12500,2026-09-04T09:05:00+00:00
A06,D,13000,2026-09-04T09:06:00+00:00
A07,E,13500,2026-09-04T09:07:00+00:00
A08,E,14000,2026-09-04T09:08:00+00:00
A09,E,14500,2026-09-04T09:09:00+00:00
A10,E,15000,2026-09-04T09:10:00+00:00
A11,E,15500,2026-09-04T09:11:00+00:00
A12,E,16000,2026-09-04T09:12:00+00:00
D,F,70000,2026-09-04T09:20:00+00:00
E,F,85000,2026-09-04T09:24:00+00:00
B01,F,6500,2026-09-04T09:26:00+00:00
B02,F,7000,2026-09-04T09:27:00+00:00
B03,F,7500,2026-09-04T09:28:00+00:00
B04,F,8000,2026-09-04T09:29:00+00:00
B05,F,8500,2026-09-04T09:30:00+00:00
B06,F,9000,2026-09-04T09:31:00+00:00
F,X,130000,2026-09-04T09:40:00+00:00
F,Y,40000,2026-09-04T09:42:00+00:00
F,Z,35000,2026-09-04T09:45:00+00:00
X,C01,20000,2026-09-04T09:51:00+00:00
X,C02,20000,2026-09-04T09:52:00+00:00
X,C03,20000,2026-09-04T09:53:00+00:00
X,C04,20000,2026-09-04T09:54:00+00:00
X,C05,20000,2026-09-04T09:55:00+00:00
X,C06,20000,2026-09-04T09:56:00+00:00
N01,N02,1186,2026-09-04T10:57:00+00:00
N02,N03,1323,2026-09-04T11:14:00+00:00
N03,N04,1460,2026-09-04T11:31:00+00:00
N04,N05,1597,2026-09-04T11:48:00+00:00
N05,N06,1734,2026-09-04T12:05:00+00:00
N06,N07,1871,2026-09-04T12:22:00+00:00
N07,N08,2008,2026-09-04T12:39:00+00:00
N08,N09,2145,2026-09-04T12:56:00+00:00
N09,N10,2282,2026-09-04T13:13:00+00:00
N10,N11,2419,2026-09-04T13:30:00+00:00
N11,N12,856,2026-09-04T13:47:00+00:00
N12,N01,993,2026-09-04T14:04:00+00:00
N03,B01,1200,2026-09-04T17:20:00+00:00
C06,N07,1800,2026-09-04T20:40:00+00:00
